Height,Weight,Age,Gender,Activity,Diet,Health Goal,Breakfast,B_Calories,B_Carbs,B_Protein,B_Fats,Lunch,L_Calories,L_Carbs,L_Protein,L_Fats,Dinner,D_Calories,D_Carbs,D_Protein,D_Fats
180,51,48,Female,Lightly Active,Vegetarian,Muscle Gain,Methi Thepla & Yogurt + Guava,340,58,14,7,Palak Paneer & Jeera Rice + Papaya,540,85,21,11,Sweet Corn Kurma & Jeera Rice + Kiwi,480,78,21,11
154,99,43,Male,Lightly Active,Vegetarian,Muscle Gain,Barnyard Millet Pongal & Peanut Chutney + Pomegranate,310,54,13,5,Paneer Butter Masala & Jeera Rice + Curd,600,86,25,15,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
155,86,34,Male,Sedentary,Vegetarian,Maintain,Sprouted Moong Dal Dosa & Tomato Chutney + Guava,330,55,14,6,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Carrot & Capsicum Stir Fry & Millet Roti + Watermelon,450,74,18,9
174,87,49,Male,Moderately Active,Vegetarian,Weight Loss,Idli & Sambar + Banana,280,50,10,2,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Adai & Avial + Mixed Fruit Salad,490,75,22,10
174,55,26,Female,Sedentary,Non-Vegetarian,Maintain,Rava Upma & Mixed Veg Salad + Orange,320,56,12,6,Sweet Corn Masala & Brown Rice + Cucumber Raita,520,80,17,9,Mutton Pepper Fry & Chapati + Tomato Soup,710,98,40,22
183,71,45,Female,Very Active,Non-Vegetarian,Weight Loss,Egg Curry & Chapati + Papaya,350,50,18,7,Sprouted Moong Dal Salad & Lemon Rice + Guava,500,75,16,8,Grilled Fish & Jeera Rice + Curd,630,92,34,18
169,77,34,Female,Moderately Active,Non-Vegetarian,Muscle Gain,Flaxseed Adai & Tomato Chutney + Banana,310,52,11,5,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Curd Rice & Pomegranate + Almonds,450,74,17,10
178,54,58,Female,Sedentary,Non-Vegetarian,Muscle Gain,Egg Podimas & Whole Wheat Bread + Apple,340,50,18,7,Fish Fry & Millet Rice + Pomegranate,620,90,30,16,Cabbage Stir Fry & Bajra Roti + Orange,440,70,19,8
183,79,53,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Wheat Rava Upma & Boiled Almonds + Muskmelon,330,55,14,7,Sambar Rice & Curd + Cucumber Salad,550,85,18,12,Kothu Parotta & Mutton Gravy + Cabbage Poriyal,710,90,38,22
181,81,47,Male,Sedentary,Vegetarian,Weight Loss,Millet Pongal & Tomato Chutney + Kiwi,310,50,12,5,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Tofu Bhurji & Whole Wheat Roti + Banana,480,76,23,11
161,73,45,Male,Lightly Active,Non-Vegetarian,Muscle Gain,Fish Cutlet & Ragi Idli + Banana,350,53,19,8,Egg Masala & Ghee Rice + Carrot Raita,620,92,28,17,Egg Podimas & Jeera Rice + Spinach Salad,550,80,28,14
178,98,57,Female,Very Active,Non-Vegetarian,Weight Loss,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Fish Curry & Ragi Mudde + Cabbage Poriyal,630,88,30,16,Tandoori Fish & Whole Wheat Roti + Pomegranate,620,88,32,16
180,71,27,Male,Moderately Active,Non-Vegetarian,Muscle Gain,Multi-Grain Adai & Coconut Chutney + Mango,310,53,13,5,Prawn Sukka & Coconut Rice + Tomato Soup,640,92,34,18,Egg Curry & Rice + Tomato Soup,520,80,25,12
164,78,41,Male,Sedentary,Non-Vegetarian,Muscle Gain,Fish Tawa Fry & Red Rice Idiyappam + Banana,360,53,21,8,Channa Dal Curry & Bajra Roti + Pomegranate,530,83,18,11,Zucchini Thoran & Brown Rice + Dates,460,74,19,8
178,57,44,Female,Lightly Active,Vegetarian,Muscle Gain,Idli & Sambar + Banana,280,50,10,2,Tinda Masala & Red Rice + Pineapple,530,85,18,10,Palak Paneer & Chapati + Guava,490,80,22,12
150,100,56,Female,Lightly Active,Vegetarian,Weight Loss,Red Rice Idiyappam & Coconut Milk + Apple,320,54,9,5,Spinach Dal & Jowar Roti + Mango,520,80,18,10,Curd Rice & Pomegranate + Almonds,450,74,17,10
167,87,34,Female,Lightly Active,Non-Vegetarian,Muscle Gain,Kanchipuram Idli & Garlic Chutney + Pomegranate,340,55,10,7,Peerkangai (Ridge Gourd) Kootu & Red Rice + Banana,520,82,18,10,Tandoori Fish & Whole Wheat Roti + Pomegranate,620,88,32,16
176,68,43,Female,Very Active,Non-Vegetarian,Maintain,Thinai (Foxtail Millet) Idli & Tomato Chutney + Dates,330,55,12,6,Lemon Rice & Papad + Sprout Salad,500,80,15,10,Chicken Curry & Lemon Rice + Spinach Stir Fry,650,96,35,18
154,96,59,Female,Lightly Active,Non-Vegetarian,Maintain,Egg Bhurji & Bajra Roti + Almonds,370,55,22,9,Cabbage Thoran & Rice + Pineapple,530,85,18,10,Moong Dal Kootu & Red Rice + Muskmelon,470,76,20,10
190,51,54,Female,Sedentary,Vegetarian,Weight Loss,Ragi Porridge & Almonds + Orange,280,50,10,4,Pumpkin Curry & Steamed Rice + Guava,530,85,19,11,Tomato Rasam & Quinoa + Buttermilk,470,70,20,8
165,87,48,Male,Lightly Active,Vegetarian,Muscle Gain,Upma & Sprouts Salad + Pomegranate,295,48,10,4,Zucchini Sabzi & Bajra Roti + Almonds,520,80,17,10,Curd Rice & Pomegranate + Almonds,450,74,17,10
161,96,43,Female,Very Active,Non-Vegetarian,Maintain,Egg Keema Paratha & Tomato Chutney + Orange,380,58,22,10,Grilled Fish & Steamed Rice + Tomato Salad,620,84,28,15,Kothu Parotta (Veg) & Coconut Chutney + Almonds,520,85,24,15
161,61,28,Male,Very Active,Vegetarian,Weight Loss,Oats Pongal & Vegetable Stir Fry + Papaya,310,50,12,5,Vegetable Biryani & Raita + Guava,580,88,20,14,Mixed Sprouts Stir Fry & Jowar Roti + Guava,460,72,21,10
184,65,42,Male,Lightly Active,Non-Vegetarian,Muscle Gain,Rava Idli & Coriander Chutney + Fig,330,58,10,6,Grilled Chicken & Bajra Roti + Curd,670,95,38,20,Grilled Fish & Jeera Rice + Curd,630,92,34,18
177,89,18,Female,Moderately Active,Non-Vegetarian,Weight Loss,Quinoa Uttapam & Mint Chutney + Apple,320,55,13,6,Mutton Keema & Ragi Chapati + Buttermilk,730,98,41,22,Egg Curry & Rice + Tomato Soup,520,80,25,12
184,90,48,Female,Lightly Active,Non-Vegetarian,Maintain,Vermicelli Upma & Sprout Salad + Papaya,295,47,11,4,Egg Biryani & Onion Raita + Curd,610,90,32,16,Adai & Avial + Mixed Fruit Salad,490,75,22,10
184,62,50,Male,Sedentary,Non-Vegetarian,Muscle Gain,Egg Keema Paratha & Tomato Chutney + Orange,380,58,22,10,Grilled Fish & Steamed Rice + Tomato Salad,620,84,28,15,Mixed Sprouts Poriyal & Coconut Rice + Papaya,480,79,21,11
152,57,43,Male,Lightly Active,Non-Vegetarian,Muscle Gain,Pumpkin Paratha & Coriander Chutney + Pomegranate,330,57,12,6,Jackfruit Curry & Quinoa + Buttermilk,530,85,19,11,Fish Curry & Brown Rice + Cabbage Poriyal,610,88,32,16
180,93,40,Male,Very Active,Vegetarian,Maintain,Carrot & Beetroot Chapati + Yogurt,340,58,15,7,Vazhaipoo (Banana Flower) Usili & Jeera Rice + Buttermilk,540,88,20,12,Rajma Masala & Bajra Roti + Mango,490,80,21,11
181,100,25,Male,Very Active,Non-Vegetarian,Maintain,Ragi Porridge & Almonds + Orange,280,50,10,4,Beetroot Poriyal & Millet Rice + Curd,510,78,17,9,Zucchini Thoran & Brown Rice + Dates,460,74,19,8
